exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,walk_time,longest_idle_time,datauuid,day_time
,3713,,2467840,90.0,0,2023-02-01 03:41:56.354,,2023-01-31 04:53:12.325,,,,-1,60000,45,,,,2777.1575,,142.16345,5f42118d-cdb2-4d12-8b98-6ff105363aff.extra_data.json,2464835,27120000,5f42118d-cdb2-4d12-8b98-6ff105363aff,2023-01-31 00:00:00.000
,0,,0,90.0,0,2023-01-31 04:53:12.390,,2023-01-31 04:53:12.390,,,,-1,0,0,,,,0.0,,0.0,37288cc9-4af1-4732-8880-a576e0328d2f.extra_data.json,0,-1,37288cc9-4af1-4732-8880-a576e0328d2f,2023-01-04 00:00:00.000
,6553,,4371451,90.0,0,2023-02-01 03:41:53.972,,2023-01-31 04:53:12.515,,,,-1,2729775,80,,,,5074.0312,,371.5423,beee4816-d6f9-4ebb-bb8f-83f226a3c9e1.extra_data.json,4365451,33540000,beee4816-d6f9-4ebb-bb8f-83f226a3c9e1,2023-01-07 00:00:00.000
,740,,492245,90.0,0,2023-02-01 03:41:54.039,,2023-01-31 04:53:12.556,,,,-1,49358,8,,,,548.97974,,33.036144,13f79bd6-2805-4d4d-b0c9-eee33fb431a4.extra_data.json,490245,40020000,13f79bd6-2805-4d4d-b0c9-eee33fb431a4,2023-01-08 00:00:00.000
,6325,,3754220,90.0,0,2023-02-01 03:41:54.479,,2023-01-31 04:53:12.627,,,,-1,420000,68,,,,4911.797,,274.94675,621eb975-9733-416f-a573-9527e96ccf62.extra_data.json,3721020,19260000,621eb975-9733-416f-a573-9527e96ccf62,2023-01-11 00:00:00.000
,1960,,1245315,90.0,0,2023-02-01 03:41:54.548,,2023-01-31 04:53:12.642,,,,-1,300000,22,,,,1496.0591,,85.0171,5d8bde8f-04c4-47c9-b136-80066e5ea89a.extra_data.json,1243715,39600000,5d8bde8f-04c4-47c9-b136-80066e5ea89a,2023-01-12 00:00:00.000
,3586,,2308083,90.0,0,2023-02-01 03:41:54.618,,2023-01-31 04:53:12.661,,,,-1,240000,42,,,,2712.2146,,154.88,36431465-3aa4-424f-99d0-7b8e29f9e18e.extra_data.json,2306883,19680000,36431465-3aa4-424f-99d0-7b8e29f9e18e,2023-01-13 00:00:00.000
,1949,,1184959,90.0,0,2023-02-01 03:41:54.814,,2023-01-31 04:53:12.676,,,,-1,300000,21,,,,1475.9702,,83.546875,2f8d414f-e2ce-4382-abda-e38171ef08ee.extra_data.json,1184959,40500000,2f8d414f-e2ce-4382-abda-e38171ef08ee,2023-01-14 00:00:00.000
,425,,283475,90.0,0,2023-02-01 03:41:55.331,,2023-01-31 04:53:12.719,,,,-1,30015,4,,,,315.56348,,18.436615,d883070f-8a74-4a1f-b3a3-a0d33c1d6404.extra_data.json,283475,36060000,d883070f-8a74-4a1f-b3a3-a0d33c1d6404,2023-01-16 00:00:00.000
,1748,,1165916,90.0,0,2023-02-01 03:41:55.476,,2023-01-31 04:53:12.734,,,,-1,52693,21,,,,1314.0244,,75.87581,c992a1df-d5fd-4bb2-9248-cbfd20a0df29.extra_data.json,1165916,16260000,c992a1df-d5fd-4bb2-9248-cbfd20a0df29,2023-01-17 00:00:00.000
,4062,,2618565,90.0,0,2023-02-01 03:41:55.535,,2023-01-31 04:53:12.757,,,,-1,240000,47,,,,3065.7554,,174.87976,2a10442a-6c6e-414d-9ccb-027f51e886d1.extra_data.json,2617765,19620000,2a10442a-6c6e-414d-9ccb-027f51e886d1,2023-01-18 00:00:00.000
,579,,386193,90.0,0,2023-02-01 03:41:55.575,,2023-01-31 04:53:12.815,,,,-1,40020,6,,,,429.23834,,25.192337,7f13d226-ba68-4512-a72c-098046afd16a.extra_data.json,386193,39600000,7f13d226-ba68-4512-a72c-098046afd16a,2023-01-19 00:00:00.000
,657,,430852,90.0,0,2023-02-01 03:41:55.766,,2023-01-31 04:53:13.150,,,,-1,60000,7,,,,492.1594,,28.366684,34ffb5c3-01d8-4cd7-b908-9600e12691cf.extra_data.json,430852,43320000,34ffb5c3-01d8-4cd7-b908-9600e12691cf,2023-01-23 00:00:00.000
,3653,,2282514,90.0,0,2023-02-01 03:41:56.082,,2023-01-31 04:53:18.620,,,,-1,180000,42,,,,2789.3088,,156.47519,074cf58c-ce99-42cd-bcea-92b9ff303896.extra_data.json,2282114,19080000,074cf58c-ce99-42cd-bcea-92b9ff303896,2023-01-27 00:00:00.000
