sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,wind_speed_unit,forecast_time,wind_speed
0.0,2019-03-30 18:22:19.995,-33.429726,,S. 170,Nublado,0.0,1,TWC,2019-03-30 18:22:19.997,2019-03-30 18:22:19.997,1,-70.61972,22.0,51,UTC-0300,km/h,0.0,0.0
0.0,2019-10-30 19:15:08.928,-30.602257,,O. 270,Parcialmente nublado,0.0,1,TWC,2019-10-30 19:15:08.930,2019-10-30 19:15:08.930,1,-71.20247,24.0,28,UTC-0300,km/h,0.0,21.0
0.0,2019-11-11 14:26:59.460,-33.499123,,O. 260,Soleado,0.0,1,TWC,2019-11-11 14:26:59.464,2019-11-11 14:26:59.464,1,-70.61204,23.0,44,UTC-0300,km/h,0.0,10.0
0.0,2018-10-04 00:27:49.446,-33.429394,,SSE. 150,Soleado,0.0,1,TWC,2018-10-04 00:27:49.451,2018-10-04 00:27:49.451,1,-70.61975,18.0,25,UTC-0300,km/h,0.0,3.0
0.0,2019-04-15 18:15:38.763,-33.5005,,O. 270,Soleado,0.0,1,TWC,2019-04-15 18:15:38.764,2019-04-15 18:15:38.764,1,-70.61242,27.0,23,UTC-0400,km/h,0.0,8.0
0.0,2019-08-05 15:42:48.407,-33.50076,,O. 270,Soleado,0.0,1,TWC,2019-08-05 15:42:48.411,2019-08-05 15:42:48.411,1,-70.61026,17.0,44,UTC-0400,km/h,0.0,3.0
0.0,2019-02-21 19:15:19.532,-33.424103,,SO. 230,Soleado,0.0,1,TWC,2019-02-21 19:15:19.534,2019-02-21 19:15:19.534,1,-70.612305,26.0,48,UTC-0300,km/h,0.0,13.0
0.0,2019-09-03 23:17:37.066,-33.42018,,S. 180,Soleado,0.0,1,TWC,2019-09-03 23:17:37.067,2019-09-03 23:17:37.067,1,-70.65337,19.0,27,UTC-0400,km/h,0.0,11.0
0.0,2018-10-06 06:36:38.523,-33.461185,,ESE. 120,Soleado,0.0,1,TWC,2018-10-06 06:36:38.527,2018-10-06 06:36:38.527,1,-70.67131,9.0,84,UTC-0300,km/h,0.0,0.0
0.0,2020-02-18 19:01:06.708,-41.31492,,O. 260,Muy nublado,0.0,1,TWC,2020-02-18 19:01:06.710,2020-02-18 19:01:06.710,1,-72.982285,18.0,67,UTC-0300,km/h,0.0,14.0
