duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
6381,0,10,2024-10-20 22:34:00.000,,,2024-10-20 22:35:00.170,2024-10-20 22:35:00.170,10,1.1111112,7.09,0.45,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-20 22:35:00.000,faaae2cb-8707-4925-a307-71e917ef5ccb
14400,0,21,2024-10-20 22:48:00.000,,,2024-10-20 22:48:27.450,2024-10-20 22:48:27.450,21,1.0,14.4,0.8999999,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-20 22:49:00.000,da7c713a-a670-4521-ae3f-433b8a18fd4f
16148,0,36,2024-10-21 01:19:00.000,,,2024-10-21 01:22:16.110,2024-10-21 01:22:16.110,36,1.75,28.26,1.44,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 01:20:00.000,8dc51468-fcfe-456f-9084-a1b3758b7af6
7776,0,11,2024-10-21 01:47:00.000,,,2024-10-21 01:47:42.881,2024-10-21 01:47:42.881,11,0.9722222,7.5600014,0.5999999,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 01:48:00.000,67a1f2ca-0dd3-474c-8393-bcddb1e160a0
16911,0,27,2024-10-21 01:56:00.000,,,2024-10-21 02:00:03.807,2024-10-21 02:00:03.807,27,1.1666666,19.73,1.0300002,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 01:57:00.000,f99bf86b-a50e-4b4b-a63b-4c6ba1facd69
7505,0,13,2024-10-21 08:42:00.000,,,2024-10-21 08:48:49.208,2024-10-21 08:48:49.208,13,1.2777778,9.590004,0.4699998,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 08:43:00.000,a2f4b3ad-11a6-43cc-b6be-fbd4f60d1069
18190,0,31,2024-10-21 08:49:00.000,,,2024-10-21 08:54:22.953,2024-10-21 08:49:13.465,31,1.2638118,22.989998,1.21,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 08:50:00.000,02ec0420-7765-4218-88b8-267a1b956687
40098,0,60,2024-10-21 08:49:00.000,,,2024-10-21 08:50:23.185,2024-10-21 08:50:23.185,60,1.0833333,43.44,2.39,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 08:50:00.000,bbd7b39b-bcf8-42f0-acb8-4dd9d3500ca2
1962,0,3,2024-10-21 08:50:00.000,,,2024-10-21 08:50:23.217,2024-10-21 08:50:23.217,3,1.1111112,2.18,0.12,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 08:51:00.000,c72939d7-472e-4d4f-950f-cfedaf5531e0
15620,0,27,2024-10-21 08:55:00.000,,,2024-10-21 08:58:32.272,2024-10-21 08:58:32.272,27,1.2777778,19.96,1.06,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 08:56:00.000,d1d49a85-e4b0-492f-9f77-066a43d1fb85
