,count,unique,top,freq,mean,std,min,25%,50%,75%,max
exercise_time,361.0,,,,1671763.3102493074,1982622.7902213433,0.0,0.0,1345000.0,2379096.0,11964934.0
step_count,1947.0,,,,6244.797123780175,5150.61773327818,0.0,1583.5,5583.0,9239.0,26550.0
exercise_calorie_target,361.0,,,,300.0,0.0,300.0,300.0,300.0,300.0,300.0
active_time,1947.0,,,,3922341.629173087,3250267.964267888,0.0,1013971.0,3434032.0,5723740.0,17331809.0
target,869.0,,,,90.0,0.0,90.0,90.0,90.0,90.0,90.0
others_time,1947.0,,,,125193.17051874679,739549.9638370577,0.0,0.0,0.0,0.0,8127704.0
update_time,1947,1947,2024-11-24 15:41:07.178,1,,,,,,,
floors_target,361.0,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0
create_time,1947,1947,2024-11-23 23:00:01.492,1,,,,,,,
floor_count,361.0,,,,5.728531855955679,8.369155692495653,0.0,0.0,1.0,9.0,54.0
dynamic_active_time_target,361.0,,,,30.0,0.0,30.0,30.0,30.0,30.0,30.0
exercise_time_target,361.0,,,,30.0,0.0,30.0,30.0,30.0,30.0,30.0
goal,1947.0,,,,31.928094504365692,30.411007206550405,-1.0,-1.0,60.0,60.0,60.0
longest_active_time,1947.0,,,,668514.3985618901,868214.1282654299,0.0,60000.0,420000.0,874625.5,7219903.0
score,1947.0,,,,87.50179763739085,70.76105422708166,0.0,23.0,81.0,131.0,453.0
move_hourly_count,361.0,,,,12.886426592797784,3.5214988484642875,2.0,11.0,13.0,15.0,22.0
duration_type,361.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
move_hourly_target,361.0,,,,8.0,0.0,8.0,8.0,8.0,8.0,8.0
distance,1947.0,,,,4713.634828736004,3860.7004112685054,0.0,1223.9164500000002,4226.2896,6988.3469000000005,20968.516
dynamic_active_time,361.0,,,,434044.3213296399,656808.6506629756,0.0,0.0,198000.0,665000.0,5267000.0
calorie,1947.0,,,,302.20073567031324,288.2530710987657,0.0,65.07525,246.77003,424.326935,1823.2083
extra_data,1947,1947,756c2b47-5b87-4fee-a769-927eef7686d9.extra_data.json,1,,,,,,,
walk_time,1947.0,,,,3712824.805855162,3044672.0738036497,0.0,985543.5,3303141.0,5436899.0,17308767.0
longest_idle_time,1947.0,,,,29372699.505906522,12688735.207121156,-1.0,22800000.0,27780000.0,34200000.0,86400000.0
datauuid,1947,1947,756c2b47-5b87-4fee-a769-927eef7686d9,1,,,,,,,
day_time,1947,1944,2023-01-31 00:00:00.000,2,,,,,,,
