,count,unique,top,freq,mean,std,min,25%,50%,75%,max
sunset_time,360.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
start_time,362,362,2024-01-02 17:35:32.945,1,,,,,,,
latitude,362.0,,,,-32.91901426243094,1.5851360800371705,-41.32941,-33.4979955,-33.429808,-33.417566,-30.587229
custom,0.0,,,,,,,,,,
wind_direction,362,37,O. 270,53,,,,,,,
phrase,362,9,Soleado,249,,,,,,,
sundown_time,360.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature_scale,362.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
content_provider,362,1,TWC,362,,,,,,,
update_time,362,362,2024-01-02 17:35:34.453,1,,,,,,,
create_time,362,362,2024-01-02 17:35:34.453,1,,,,,,,
type,362.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
longitude,362.0,,,,-70.80311226795581,0.400559135798654,-73.40568,-71.1823125,-70.61958,-70.612431,-70.40823
temperature,362.0,,,,20.447513812154696,6.266806270961217,4.0,16.0,21.0,25.0,35.0
humidity,362.0,,,,46.171270718232044,18.05112631559839,12.0,32.0,44.0,59.0,96.0
time_offset,362,2,UTC-0300,255,,,,,,,
wind_speed_unit,362,1,km/h,362,,,,,,,
forecast_time,360.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_speed,362.0,,,,9.533149171270718,6.392105200308714,0.0,5.0,8.0,13.0,34.0
