,count,unique,top,freq,mean,std,min,25%,50%,75%,max
start_time,13,13,2022-09-05 04:41:00.000,1,,,,,,,
mental_recovery,13.0,,,,63.15384615384615,21.559399163884237,15.0,52.0,65.0,80.0,92.0
factor_01,13.0,,,,19.76923076923077,22.346341408807266,0.0,3.0,9.0,38.0,60.0
factor_02,13.0,,,,46.84615384615385,29.160035876310108,5.0,23.0,37.0,63.0,112.0
factor_03,13.0,,,,10.153846153846153,11.47349230361121,1.0,2.0,3.0,12.0,31.0
factor_04,13.0,,,,8.615384615384615,9.260475703569998,0.0,0.0,5.0,19.0,23.0
factor_05,13.0,,,,37.23076923076923,17.273070785444443,5.0,30.0,34.0,44.0,79.0
factor_06,13.0,,,,352.53846153846155,135.50253096321077,139.0,282.0,340.0,439.0,587.0
factor_07,13.0,,,,121.76923076923077,65.1180387785057,60.0,73.0,99.0,163.0,245.0
factor_08,13.0,,,,0.7692307692307693,1.0127393670836666,0.0,0.0,0.0,1.0,3.0
factor_09,13.0,,,,23.23076923076923,14.21943415513809,3.0,14.0,21.0,29.0,51.0
factor_10,10.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_sleep_data,13.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_rem_duration,3.0,,,,53.333333333333336,52.993710318615484,5.0,25.0,45.0,77.5,110.0
modify_sh_ver,6.0,,,,62680076.666666664,44288.18292351434,62610110.0,62660010.0,62685080.0,62717605.0,62720090.0
update_time,13,13,2022-09-05 10:37:16.048,1,,,,,,,
create_time,13,13,2022-09-05 10:37:16.048,1,,,,,,,
sleep_type,9.0,,,,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
data_version,13.0,,,,5.769230769230769,2.2786635759382503,3.0,4.0,4.0,7.0,9.0
physical_recovery,13.0,,,,57.84615384615385,18.96420379665399,21.0,49.0,61.0,68.0,91.0
original_wake_up_time,0.0,,,,,,,,,,
movement_awakening,13.0,,,,24.692307692307693,14.721778738684032,10.0,16.0,19.0,32.0,55.0
original_bed_time,0.0,,,,,,,,,,
goal_bed_time,3.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quality,10.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_offset,13,3,UTC-0400,6,,,,,,,
extra_data,0.0,,,,,,,,,,
deviceuuid,13,3,BQ++8KZ2oB,9,,,,,,,
goal_wake_up_time,3.0,,,,21600000.0,0.0,21600000.0,21600000.0,21600000.0,21600000.0,21600000.0
sleep_cycle,13.0,,,,3.230769230769231,1.6408253082847337,1.0,2.0,3.0,4.0,6.0
total_light_duration,3.0,,,,189.33333333333334,97.50042734949079,92.0,140.5,189.0,238.0,287.0
efficiency,13.0,,,,88.61538461538461,4.8740548064635325,78.0,87.0,90.0,91.0,96.0
sleep_score,13.0,,,,65.23076923076923,9.942785040368435,48.0,57.0,68.0,71.0,81.0
pkg_name,13,1,com.sec.android.app.shealth,13,,,,,,,
sleep_duration,13.0,,,,352.53846153846155,135.50253096321077,139.0,282.0,340.0,439.0,587.0
stage_analyzed_type,3.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
end_time,13,13,2022-09-05 10:30:00.000,1,,,,,,,
datauuid,13,13,ca542d2a-83c3-4e65-a6fb-68cac89659df,1,,,,,,,
stage_analysis_type,0.0,,,,,,,,,,
