,count,unique,top,freq,mean,std,min,25%,50%,75%,max
start_time,491262.0,,,,1700722037291.3032,18112441694.725296,1666290900000.0,1685988555000.0,1700535150000.0,1715662485000.0,1732462800000.0
custom,0.0,,,,,,,,,,
update_time,491262,11522,2024-11-07 21:09:35.484,62,,,,,,,
create_time,491262,11522,2024-11-07 20:11:40.674,62,,,,,,,
max,491262.0,,,,88.50202336024361,20.05072189814707,0.0,88.0,97.0,99.0,100.0
min,491262.0,,,,2.75743289731345,8.276384165795534,0.0,0.0,0.0,2.0,100.0
score,491262.0,,,,35.04778102112518,35.043213951527505,0.0,2.0,22.0,66.0,100.0
algorithm,0.0,,,,,,,,,,
time_offset,491262,6,UTC-0300,229572,,,,,,,
end_time,491262.0,,,,1700722096291.3032,18112441694.725296,1666290959000.0,1685988614000.0,1700535209000.0,1715662544000.0,1732462859000.0
score_max,491262.0,,,,45.06978964381532,37.69240290007525,0.0,6.0,39.0,85.0,100.0
score_min,491262.0,,,,26.722993026124552,33.16321022642115,0.0,1.0,10.0,47.0,100.0
flag,491262.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
level,491262.0,,,,0.9171847201696854,0.27560309118938,0.0,1.0,1.0,1.0,1.0
