,count,unique,top,freq,mean,std,min,25%,50%,75%,max
step_count,658080.0,,,,6132.534792122538,4857.888944517502,13.0,1710.0,5603.0,8940.0,26550.0
active_time,658080.0,,,,3289940.8021881836,2612024.111447803,10236.0,936849.0,2961582.0,4808291.0,14926561.0
recommendation,658080.0,,,,8160.175054704595,1993.577184651172,6000.0,6000.0,10000.0,10000.0,10000.0
run_step_count,658080.0,,,,181.0496717724289,729.1029048118179,0.0,5.0,28.0,89.0,10927.0
update_time,658080,4527,2022-10-28 22:20:33.099,576,,,,,,,
source_package_name,658080,1,com.sec.android.app.shealth,658080,,,,,,,
create_time,658080,4527,2022-10-28 22:20:33.099,576,,,,,,,
source_info,257472,1788,e885dc7a-ce5a-4b8b-a007-d8108df46f10.source_info.json,144,,,,,,,
speed,658080.0,,,,2.01727457457768,1.394553564453795,0.86541533,1.3163993,1.42824535,1.655412,6.944445
distance,658080.0,,,,4708.894742233479,3747.5789649559883,8.859219,1314.0245,4281.95075,6831.2427,20968.51
calorie,658080.0,,,,256.1328512805033,207.16745327021872,0.58,69.540016,231.720585,370.69998,1241.26
walk_step_count,658080.0,,,,5951.485120350109,4710.212961026384,13.0,1693.0,5477.5,8742.0,26390.0
healthy_step,658080.0,,,,319.25645514223197,1261.0866605068768,0.0,0.0,0.0,0.0,16515.0
achievement,658080,4570,e885dc7a-ce5a-4b8b-a007-d8108df46f10.achievement.json,144,,,,,,,
day_time,658080.0,,,,1636321583894.9673,69269909018.999,1520294400000.0,1569715200000.0,1665187200000.0,1699228800000.0,1732406400000.0
